NOT_NAMED	1979	6	14	6	11
NOT_NAMED	1979	7	10	12	7
BOB	1979	7	10	18	24
CLAUDETTE	1979	7	22	12	29
ELENA	1979	8	30	0	13
DAVID	1979	9	2	12	20
FREDERIC	1979	9	11	12	13
HENRI	1979	9	23	6	6
NOT_NAMED	1980	7	17	0	9
HOWARD	1980	8	6	0	6
ALLEN	1980	8	9	6	11
CHARLEY	1980	8	20	12	3
DANIELLE	1980	9	4	18	12
JEANNE	1980	11	13	6	13
NOT_NAMED	1980	11	16	18	8
NOT_NAMED	1981	6	4	18	5
BRET	1981	6	30	6	5
NOT_NAMED	1981	7	2	6	6
NOT_NAMED	1981	7	26	6	3
DENNIS	1981	8	16	12	19
NOT_NAMED	1981	8	29	0	3
IRWIN	1981	8	30	18	3
GERT	1981	9	10	6	6
NOT_NAMED	1981	11	12	12	19
ALBERTO	1982	6	3	18	12
CHRIS	1982	9	9	0	16
NOT_NAMED	1982	9	24	6	3
OLIVIA	1982	9	25	6	3
ISMAEL	1983	8	12	12	9
ALICIA	1983	8	15	12	23
BARRY	1983	8	23	18	24
KIKO	1983	9	7	18	6
LORENA	1983	9	12	12	3
MANUEL	1983	9	18	0	11
DEAN	1983	9	26	18	17
PRISCILLA	1983	10	6	0	5
NOT_NAMED	1984	6	11	12	11
FAUSTO	1984	7	8	18	6
MARIE	1984	9	8	6	12
DIANA	1984	9	8	12	29
NORBERT	1984	9	25	12	4
ISIDORE	1984	9	25	18	21
JOSEPHINE	1984	10	10	6	20
NOT_NAMED	1984	10	25	12	10
NOT_NAMED	1984	11	23	12	6
BOB	1985	7	21	6	20
CLAUDETTE	1985	8	9	18	9
DANNY	1985	8	14	6	26
ELENA	1985	8	29	6	27
HENRI	1985	9	21	18	14
TERRY	1985	9	23	12	6
GLORIA	1985	9	25	18	12
ISABEL	1985	10	9	0	26
JUAN	1985	10	26	0	28
KATE	1985	11	20	0	16
ANDREW	1986	6	5	0	15
BONNIE	1986	6	23	18	15
CELIA	1986	6	30	6	3
NOT_NAMED	1986	8	4	18	5
CHARLEY	1986	8	13	12	24
NEWTON	1986	9	23	0	5
NOT_NAMED	1987	5	29	6	12
NOT_NAMED	1987	8	9	12	31
NOT_NAMED	1987	9	7	0	7
NORMA	1987	9	19	12	4
